liga,id_liga,season_id,temporada
Brasileiro A,26,-2509,2021
Brasileiro B,89,-2508,2021
Brasileiro C,321,-2510,2021
MLS,33,-2405,2021
Argentina A,87,-2982,2021
Chile,90,-2373,2021
Colômbia,91,-3087,2021
Aspirantes,-325,-2964,2021
Arábia Saudita,216,-2965,2021
Primera Division RFEF,-602,-3608,2021
Paulista A2,593,-3092,2022
Carioca 1,240,-3080,2022
Copa do Nordeste,817,-3773,2022
Gaúcho 1,388,-3189,2022
Paranaense 1,386,-3083,2022
Catarinense 1,390,-3082,2022
Paulista A1,239,-3094,2022
Mineiro 1,387,-3081,2022
