Atacante,Extremo,Lateral,Meio Campista,Volante,Zagueiro,Lateral direito,Lateral Esquerdo
playerStats_off_the_ball,playerStats_key_pass_success,playerStats_key_pass_success,xG/chute,playerStats_key_pass_success,playerStats_received_pass,playerStats_key_pass_success,playerStats_key_pass_success
playerStats_received_progressive_pass_success,playerStats_pass_success,playerStats_pass_success,playerStats_pre_assist_success,playerStats_pass_success,playerStats_pass_success,playerStats_pass_success,playerStats_pass_success
playerStats_shot_in_counterattack_success,xA/assistência,xA/assistência,playerStats_under_pressure_success,xA/assistência,playerStats_smart_pass_success,xA/assistência,xA/assistência
playerStats_acceleration_success,playerStats_smart_pass_success,playerStats_smart_pass_success,playerStats_through_pass_success,playerStats_smart_pass_success,Passes Progressivos/Passes %,playerStats_smart_pass_success,playerStats_smart_pass_success
xG/chute,Passes Progressivos/Passes %,Passes Progressivos/Passes %,playerStats_pre_pre_assist_success,Passes Progressivos/Passes %,playerStats_through_pass_success,Passes Progressivos/Passes %,Passes Progressivos/Passes %
playerStats_pre_assist_success,playerStats_through_pass_success,playerStats_through_pass_success,playerStats_cross_success,playerStats_through_pass_success,playerStats_defensive_duel,playerStats_through_pass_success,playerStats_through_pass_success
playerStats_under_pressure_success,playerStats_long_pass_into_duel_success,playerStats_long_pass_into_duel_success,playerStats_pre_shot_assist_success,playerStats_long_pass_into_duel_success,playerStats_pressing_duel,playerStats_long_pass_into_duel_success,playerStats_long_pass_into_duel_success
playerStats_through_pass_success,playerStats_pass_to_another_flank_success,playerStats_pass_to_another_flank_success,playerStats_smart_pass_success,playerStats_pass_to_another_flank_success,playerStats_quick_recovery_success,playerStats_pass_to_another_flank_success,playerStats_pass_to_another_flank_success
playerStats_pre_pre_assist_success,playerStats_pre_assist_success,playerStats_pre_assist_success,playerStats_key_pass_success,playerStats_pre_assist_success,playerStats_interception_success,playerStats_pre_assist_success,playerStats_pre_assist_success
playerStats_cross_success,playerStats_under_pressure_success,playerStats_under_pressure_success,playerStats_pass_success,playerStats_under_pressure_success,playerStats_foul,playerStats_under_pressure_success,playerStats_under_pressure_success
playerStats_pre_shot_assist_success,playerStats_pre_pre_assist_success,playerStats_pre_pre_assist_success,xA/assistência,playerStats_pre_pre_assist_success,playerStats_run,playerStats_pre_pre_assist_success,playerStats_pre_pre_assist_success
playerStats_smart_pass_success,playerStats_cross_success,playerStats_cross_success,Passes Progressivos/Passes %,playerStats_cross_success,playerStats_covering_depth,playerStats_cross_success,playerStats_cross_success
playerStats_key_pass_success,playerStats_pre_shot_assist_success,playerStats_pre_shot_assist_success,playerStats_acceleration_success,playerStats_pre_shot_assist_success,playerStats_aerial_duel_in_own_penalty_area,playerStats_pre_shot_assist_success,playerStats_pre_shot_assist_success
playerStats_pass_success,playerStats_acceleration_success,playerStats_defensive_duel_success,playerStats_dribble_with_take_on_success,playerStats_received_pass,playerStats_aerial_duel_success,playerStats_defensive_duel_success,playerStats_defensive_duel_success
xA/assistência,playerStats_dribble_with_take_on_success,playerStats_interception_success,playerStats_run_success,playerStats_shot_buildup_pass_success,playerStats_recovery_success,playerStats_interception_success,playerStats_interception_success
Passes Progressivos/Passes %,playerStats_run_success,playerStats_covering_depth,playerStats_shot_from_box_success,playerStats_touch,playerStats_defensive_positioning,playerStats_covering_depth,playerStats_covering_depth
playerStats_dribble_with_take_on_success,playerStats_cross,playerStats_defensive_positioning,Gol decisivo/gol %,playerStats_aerial_duel_in_own_penalty_area,playerStats_defensive_mistake,playerStats_defensive_positioning,playerStats_defensive_positioning
playerStats_run_success,playerStats_progressive_run_success,playerStats_touch_in_box_success,playerStats_opportunity_success,playerStats_touch_in_box,playerStats_ball_loss,playerStats_touch_in_box_success,playerStats_touch_in_box_success
playerStats_progressive_run_success,playerStats_dribble_with_progress,playerStats_touch_in_final_third,playerStats_touch_in_penalty_area_success,playerStats_opportunity_success,playerStats_clearance_success,playerStats_touch_in_final_third,playerStats_touch_in_final_third
playerStats_dribble_with_space_success,playerStats_controlled_penalty_area_entry_success,playerStats_cross,playerStats_touch_in_box,playerStats_defensive_duel_success,playerStats_blocked_shot,playerStats_cross,playerStats_cross
playerStats_successful_dribble_leading_to_shot_success,playerStats_shot_success,playerStats_defensive_duel,Toque na área %,playerStats_interception_success,playerStats_aerial_duel_in_own_penalty_area_success,playerStats_defensive_duel,playerStats_defensive_duel
playerStats_dribble_with_progress,playerStats_touch_in_box_success,playerStats_pressing_duel,Finalização/Toque na área,playerStats_covering_depth,playerStats_progressive_pass_success,playerStats_pressing_duel,playerStats_pressing_duel
playerStats_dribble_success,playerStats_diagonal_to_flank_success,playerStats_quick_recovery_success,playerStats_non_penalty_goal,playerStats_defensive_positioning,playerStats_pre_pre_assist_success,playerStats_quick_recovery_success,playerStats_quick_recovery_success
playerStats_controlled_penalty_area_entry_success,playerStats_aerial_duel_success,playerStats_foul,playerStats_received_pass,playerStats_touch_in_box_success,playerStats_smart_pass_success,playerStats_foul,playerStats_foul
playerStats_diagonal_to_flank_success,playerStats_offensive_shielding_success,playerStats_controlled_penalty_area_entry_success,playerStats_shot_buildup_pass_success,playerStats_shot_success,playerStats_non_penalty_goal,playerStats_controlled_penalty_area_entry_success,playerStats_controlled_penalty_area_entry_success
playerStats_pressed_sequence_recovery_success,playerStats_defensive_duel_success,playerStats_shot_success,playerStats_touch,playerStats_defensive_duel,playerStats_touch,playerStats_shot_success,playerStats_shot_success
playerStats_recovery_success,playerStats_off_the_ball,playerStats_diagonal_to_flank_success,playerStats_cross,playerStats_pressing_duel,playerStats_received_pass,playerStats_diagonal_to_flank_success,playerStats_diagonal_to_flank_success
playerStats_defensive_duel_success,playerStats_received_progressive_pass_success,playerStats_acceleration_success,playerStats_progressive_run_success,playerStats_quick_recovery_success,playerStats_action,playerStats_acceleration_success,playerStats_acceleration_success
playerStats_interception_success,playerStats_shot_in_counterattack_success,playerStats_dribble_with_take_on_success,playerStats_dribble_with_progress,playerStats_foul,,playerStats_dribble_with_take_on_success,playerStats_dribble_with_take_on_success
playerStats_covering_depth,playerStats_shot_from_box_success,playerStats_run_success,playerStats_controlled_penalty_area_entry_success,playerStats_off_the_ball,,playerStats_run_success,playerStats_run_success
playerStats_dangerous_opponent_half_recovery_success,Gol decisivo/gol %,playerStats_progressive_run_success,playerStats_off_the_ball,playerStats_recovery_counterpressing_success,,playerStats_progressive_run_success,playerStats_progressive_run_success
playerStats_defensive_positioning,playerStats_opportunity_success,playerStats_defensive_mistake,playerStats_recovery_counterpressing_success,playerStats_received_long_pass_success,,playerStats_defensive_mistake,playerStats_defensive_mistake
playerStats_pressing_duel,playerStats_touch_in_penalty_area_success,playerStats_ball_loss,playerStats_received_long_pass_success,playerStats_received_dangerous_pass_success,,playerStats_ball_loss,playerStats_ball_loss
playerStats_quick_recovery_success,playerStats_touch_in_box,playerStats_assist_success,playerStats_touch_in_box_success,playerStats_shot_in_counterattack_success,,playerStats_assist_success,playerStats_assist_success
playerStats_head_shot_success,Toque na área %,playerStats_action,playerStats_received_dangerous_pass_success,playerStats_action_in_counterattack,,playerStats_action,playerStats_action
playerStats_head_pass_success,xG/chute,,playerStats_shot_in_counterattack_success,playerStats_defensive_mistake,,,
playerStats_linkup_play_success,Finalização/Toque na área,,playerStats_action_in_counterattack,playerStats_ball_loss,,,
playerStats_aerial_duel_success,playerStats_non_penalty_goal,,playerStats_ball_loss,playerStats_action,,,
playerStats_offensive_shielding_success,playerStats_pressed_sequence_recovery_success,,playerStats_action,,,,
playerStats_shot_from_box_success,playerStats_recovery_success,,,,,,
Gol decisivo/gol %,playerStats_interception_success,,,,,,
playerStats_opportunity_success,playerStats_covering_depth,,,,,,
playerStats_touch_in_penalty_area_success,playerStats_dangerous_opponent_half_recovery_success,,,,,,
playerStats_touch_in_box,playerStats_defensive_positioning,,,,,,
Toque na área %,playerStats_pressing_duel,,,,,,
Finalização/Toque na área,playerStats_quick_recovery_success,,,,,,
playerStats_non_penalty_goal,playerStats_action,,,,,,
playerStats_action,,,,,,,
